ID	Name	Rating	RD	RV	Rnd1	Rnd2	Rnd3	Rnd4	Rnd5	Rnd6	Rnd7	overall gain
271	Paredes, Alexis NM	2119	80	0.05998061	2	2	5	13	-30	3	6	1
128	Glinsky, Luka	2021	74	0.05999078	3	2	4	-11	8	10	4	20
381	Washimkar, Atharva	1867	72	0.06000679	-6	3	9	13	25	-9	6	40
329	Sharf, Sam	1686	84	0.05999387	11	15	-6	4	4	-3	18	44
28	Beardsley, Ben	1682	77	0.06000695	10	9	-10	1	18	20	-5	44
3	Agishev, Kirill	1782	71	0.05999432	5	5	-4	-13	10	-14	10	-1
377	Walthrust, Najee-Ana	1734	85	0.06000139	0	-3	-25	6	10	-25	10	-28
62	Chiappini, Peter	1604	73	0.05998532	8	-2	-20	6	12	4	-6	3
229	McLean, Wyatt	1545	69	0.0599881	7	-2	-7	-14	9	9	5	6
256	Nugent, Jack	1814	144	0.05999226	171	36	63	37	-39	67	-20	314
399	Baskoylu, Mehmet	1629	146	0.05999643	-19	79	209	-30	-103	36	-43	129
121	Ghabra, Sammi	1600	138	0.05999148	-32	110	100	-8	-51	32	-51	100
23	Banerjee, Shreyo	1449	68	0.05990121	0	-3	12	-18	8	-6	11	4
205	Liu, Glo	1424	78	0.05997683	0	0	0	0	0	-12	18	6
153	Jameson, Micah	1518	69	0.05997588	-19	6	-10	14	-6	-19	12	-36
94	Dittmeier, Christian	1514	70	0.05998271	5	-10	10	-24	-11	13	-7	-24
221	Martinez, Nico	1405	90	0.0600173	39	-13	-18	-7	-16	15	5	5
214	Maloney, Dennis	1358	88	0.05999333	-14	-14	18	-10	8	33	-18	4
191	Leinwand, Joseph	1260	92	0.0599979	-8	30	32	43	-5	-7	-8	76
400	Mosiolek, Damian	1218	150	0.05999593	-76	-4	-163	51	-49	-41	0	-282
25	Bar, Ben	1406	69	0.05999234	-8	0	-13	7	17	-7	-14	-16
382	Watson, Benjamin	1340	105	0.06000212	0	-15	22	44	0	0	0	51
380	Wang, Daniel	1461	77	0.06001801	6	-6	24	-7	-23	-16	-15	-39
186	Larson, Kirk	1013	159	0.05999639	-119	-203	-74	-48	-27	0	-16	-487
249	Navarro, Diego	1206	76	0.05999449	-5	-7	-12	-8	0	0	0	-32
401	Holbrook, Hunter	1382	260	0.05999889	-118	0	0	0	0	0	0	-118
